,ID,location_name,lat,long,location_name_Initial
9817,2363053,Baguéra,10.53333,-5.41667,B
9831,2363067,Bagéou,12.2,-2.9,B
9815,2363051,Baham,13.644770000000001,0.70431,B
9814,2363050,Bahamaka,13.5148,-1.69252,B
9813,2363049,Bahanéré,12.4,-0.25,B
9812,2363048,Bahara,12.73333,-0.9,B
9811,2363047,Bahniaga,13.122589999999999,-0.11855999999999998,B
9810,2363046,Baimbaiga,11.16667,-0.41667,B
9809,2363045,Baka,12.25,-0.41667,B
9807,2363043,Baka,12.28333,-0.41667,B
9808,2363044,Baka,12.26667,-0.41667,B
9806,2363042,Bakara,11.2,-3.01667,B
9805,2363041,Bakaribougou,11.05095,-5.11669,B
10861,11913424,Baken,12.66446,-1.75633,B
10305,2570324,Bakiensom,12.300930000000001,-1.61276,B
9803,2363039,Bakina,10.61667,-3.41667,B
9802,2363038,Baklouté,13.1641,-0.40688,B
9799,2363035,Bako,12.76498,-1.68475,B
9798,2363034,Bako,10.3,-4.3,B
9797,2363033,Bako,12.06667,-3.7833300000000003,B
9801,2363037,Bako,12.28333,-0.71667,B
9800,2363036,Bako,12.75628,-1.86863,B
9796,2363032,Bakogo,11.6,-1.15,B
9795,2363031,Bakono,10.35,-3.16667,B
9792,2363028,Bakori,10.3,-2.83333,B
9794,2363030,Bakoronisso,11.880510000000001,-4.22199,B
9793,2363029,Bakoré,14.07741,-1.59334,B
9791,2363027,Bakotinga,11.06667,-2.71667,B
9790,2363026,Bakotou,13.268360000000001,0.5099600000000001,B
9789,2363025,Bakotourou,11.08333,-2.63333,B
9788,2363024,Bakou,13.37411,-1.99616,B
9787,2363023,Bakouani,11.13371,-5.19565,B
9786,2363022,Bakoui,13.01293,-1.6408200000000002,B
9785,2363021,Bakouléna,10.33333,-3.1,B
9784,2363020,Bakoumba,12.25,-0.65,B
9782,2363018,Bakoumbila,12.65282,-1.24981,B
9783,2363019,Bakoun,9.96667,-2.9,B
9781,2363017,Bakouté,10.41667,-4.0166699999999995,B
9780,2363016,Bakoutélé,10.46667,-3.93333,B
9779,2363015,Bakouyo,11.36667,-2.58333,B
